Variable Information
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|WHERE_NO             |93      |[Derived] In the past week, where have you gotten sugary drinks: I did not                                                               |Nominal          |Input|10          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|WHERE_NOT_HOME       |94      |[Derived] Where have you gotten sugary drinks (home vs not home)                                                                         |Nominal          |Input|16          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LARGE_PORTION        |95      |[Recode] How important is a large portion?                                                                                               |Nominal          |Input|15          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LOW_PRICE            |96      |[Recode] How important a low price?                                                                                                      |Nominal          |Input|11          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LOW_CALORIE          |97      |[Recode] How important is it that the beverage is low in calories?                                                                       |Nominal          |Input|13          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEALTH_TAP_WATER     |98      |[Recode] Do you believe drinking tap water is healthy?                                                                                   |Scale            |Input|18          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEALTH_BOTTLED_WATER |99      |[Recode] Do you believe drinking bottled water is healthy?                                                                               |Scale            |Input|22          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q22A_RECODE          |100     |[Recode] 22A. Yesterday, about how many servings of: salty snacks                                                                        |Scale            |Input|13          |Right    |F4.1        |F4.1        |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q22B_RECODE          |101     |[Recode] 22B. Yesterday, about how many servings of: cookies                                                                             |Scale            |Input|13          |Right    |F4.1        |F4.1        |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q22C_RECODE          |102     |[Recode] 22C. Yesterday, about how many servings of: candy                                                                               |Scale            |Input|13          |Right    |F2          |F2          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q22D_RECODE          |103     |[Recode] 22D. Yesterday, about how many servings of: fruit                                                                               |Scale            |Input|13          |Right    |F4.1        |F4.1        |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q22E_RECODE          |104     |[Recode] 22E. Yesterday, about how many servings of: dark green vegetables                                                               |Scale            |Input|13          |Right    |F4.1        |F4.1        |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q22_RECODE           |105     |Q22_RECODE                                                                                                                               |Scale            |Input|12          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q22_SUGARSNACK       |106     |[Derived] servings of cookies and candy                                                                                                  |Scale            |Input|16          |Right    |F4.1        |F4.1        |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q22_JUNKSNACK        |107     |[Derived] servings of salty snacks, cookies and candy                                                                                    |Scale            |Input|15          |Right    |F4.1        |F4.1        |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q22_FRUITVEG         |108     |[Derived] servings of fruit and dark green vegetables                                                                                    |Scale            |Input|18          |Right    |F15.12      |F15.12      |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q23_TOPCODE          |109     |[Recode] [top code to 7] Past 7 days (P7D), on how many days were you physically active for a total of at least 60 min per day?          |Scale            |Input|13          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q24_TOPCODE          |110     |[Recode] [top code to 7] Past 7 days (P7D), on how many days did you do exercise to strengthen or tone your muscles?                     |Scale            |Input|13          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BCI                  |111     |Balance Calories Initiative (recode of Q27)                                                                                              |Nominal          |Input|5           |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|MIXIFY_INTERNET      |112     |[Derived] Have you heard of Mixify or Balance Calories Initiative (BCI): internet                                                        |Nominal          |Input|17          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|MIXIFY_STORE         |113     |[Derived] Have you heard of Mixify or Balance Calories Initiative (BCI): store                                                           |Nominal          |Input|14          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|MIXIFY_BILLBOARD     |114     |[Derived] Have you heard of Mixify or Balance Calories Initiative (BCI): billboard                                                       |Nominal          |Input|18          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|MIXIFY_BUS           |115     |[Derived] Have you heard of Mixify or Balance Calories Initiative (BCI): bus                                                             |Nominal          |Input|12          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|STATE                |116     |[Derived] State                                                                                                                          |Nominal          |Input|7           |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LOCATION_FOUR        |117     |[Derived] Location (four locations)                                                                                                      |Nominal          |Input|15          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LOCATION             |118     |[Derived] Location                                                                                                                       |Nominal          |Input|10          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|STORE_ID             |119     |Store ID (cleaned)                                                                                                                       |Nominal          |Input|10          |Left     |A5          |A5          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LOCATION_TEN         |120     |County code                                                                                                                              |Nominal          |Input|14          |Right    |F2          |F2          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|WEIGHT_POUNDS        |121     |[Recode] Respondent weight in pounds                                                                                                     |Scale            |Input|15          |Right    |F3          |F3          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEIGHT_INCH          |122     |[Recode] Respondent full height in inches                                                                                                |Scale            |Input|13          |Right    |F2          |F2          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BMI_ADOLESCENT       |123     |[Derived] Body Mass Index                                                                                                                |Scale            |Input|16          |Right    |F4.1        |F4.1        |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BMI_4CAT             |124     |[Derived] Adolescent Body Mass Index (BMI) (Centers for Disease Control and Prevention (CDC) categories)                                 |Nominal          |Input|10          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SUGAR_BEV_4_EVERYDAY |125     |[Derived] Estimate consumed 4 or more sugary beverages every day                                                                         |Nominal          |Input|22          |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|AGEMOS               |126     |Adolescents age in months (note age was asked in years, not months)                                                                      |Scale            |Input|8           |Right    |F3          |F3          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SEX                  |127     |Adolescent sex (1/male 2/female)                                                                                                         |Nominal          |Input|5           |Right    |F1          |F1          |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEIGHT               |128     |Height in centimeters (cm).                                                                                                              |Scale            |Input|18          |Right    |F15.11      |F15.11      |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|WEIGHT               |129     |Weight kilograms (kg)                                                                                                                    |Scale            |Input|18          |Right    |F15.11      |F15.11      |              |
|---------------------|--------|-----------------------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEADCIR              |130     |Head circumference (cm)                                                                                                                  |Scale            |Input|9           |Right    |F1          |F1          |              |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
Variables in the working file

Variable Values
|----------------------------|--------------------------------------------------------------------------------------------------------------|
|Value                       |Label                                                                                                         |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q2                  |1      |Male                                                                                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Female                                                                                                        |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q4                  |1      |Latino/Latina                                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |Black, African American                                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |White                                                                                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |Asian or Asian American                                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Pacific Islander                                                                                              |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |6      |American Indian or Alaska Native                                                                              |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |7      |Some other race or ethnicity                                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |Latino/Latina and Black, African American                                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13     |Latino/Latina and White                                                                                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |Black, African American and White                                                                             |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |25     |Black, African American and Pacific Islander                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |26     |Black, African American and American Indian or Alaska Native                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |27     |Black, African American and some other race or ethnicity                                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |35     |White and Pacific Islander                                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |36     |White and American Indian or Alaska Native                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |37     |White and some other race or ethnicity                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |236    |Black, African American, White, and American Indian or Alaska Native                                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1236   |Latino/Latina, Black, African American, White, and American Indian or Alaska Native                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2367   |Black, African American, White, American Indian or Alaska Native, and some other race or ethnicity            |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q5                  |1      |Almost every day (5-7 x/week)                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |A few days per week (2-4 x/week)                                                                              |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |About once a week                                                                                             |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |Occasionally (1-3x per month)                                                                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |Seldom (less than once a month)                                                                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |6      |Rarely (a few times a year or less)                                                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |Almost every day (5-7 x/week) and a few days per week (2-4 x/week)                                            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |A few days per week (2-4 x/week) and about once a week                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |About once a week and occasionally (1-3x per month)                                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |36     |About once a week and rarely (a few times a year or less)                                                     |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |46     |Occasionally (1-3x per month) and rarely (a few times a year or less)                                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |236    |A few days per week (2-4 x/week), about once a week, and rarely (a few times a year or less)                  |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q6                  |1      |I did not drink regular soda yesterday                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |4 or more cans (48 oz or more)                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |I did not drink regular soda yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz)                             |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13     |I did not drink regular soda yesterday and 2 cans (about one 20-oz bottle or 2.5 cups)                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |45     |3 cans (about two 20-oz bottles or 4.5 cups) and 4 or more cans (48 oz or more)                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |123    |I did not drink regular soda yesterday, 1 can or less, and 2 cans                                             |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1345   |I did not drink regular soda yesterday, 2 cans, 3 cans, and 4 or more cans                                    |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q7                  |1      |I did not drink diet soda yesterday                                                                           |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |4 or more cans (48 oz or more)                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |I did not drink diet soda yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz)                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)                  |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q8                  |1      |I did not drink sports or energy drinks yesterday                                                             |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |4 or more cans (48 oz or more)                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |I did not drink sports or energy drinks yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz)                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13     |I did not drink sports or energy drinks yesterday and 2 cans (about one 20-oz bottle or 2.5 cups)             |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |14     |I did not drink sports or energy drinks yesterday and 3 cans (about two 20-oz bottles or 4.5 cups)            |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |15     |I did not drink sports or energy drinks yesterday and 4 or more cans (48 oz or more)                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |24     |1 can or less (1 cup=8oz, 1 can=12 oz) and 3 cans (about two 20-oz bottles or 4.5 cups)                       |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |45     |3 cans (about two 20-oz bottles or 4.5 cups) and 4 or more cans (48 oz or more)                               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1234   |I did not drink sports or energy drinks yesterday, 1 can or less, 2 cans, and 3 cans                          |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12345  |All options selected                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q9                  |1      |I did not drink 100% fruit juice yesterday                                                                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |4 or more cans (48 oz or more)                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |I did not drink 100% fruit juice yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz)                         |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13     |I did not drink 100% fruit juice yesterday and 2 cans (about one 20-oz bottle or 2.5 cups)                    |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |15     |I did not drink 100% fruit juice yesterday and 4 or more cans (48 oz or more)                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |23     |1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |34     |2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |1234   |I did not drink 100% fruit juice yesterday, 1 can or less, 2 cans, and 3 cans                                 |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12345  |All options selected                                                                                          |
|--------------------|-------|--------------------------------------------------------------------------------------------------------------|
|Q10                 |1      |I did not drink sweetened fruit flavored, tea or coffee drinks yesterday                                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |2      |1 can or less (1 cup=8oz, 1 can=12 oz)                                                                        |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |3      |2 cans (about one 20-oz bottle or 2.5 cups)                                                                   |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |4      |3 cans (about two 20-oz bottles or 4.5 cups)                                                                  |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |5      |4 or more cans (48 oz or more)                                                                                |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |12     |I did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday and 1 can or less               |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |13     |I did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday and 2 cans                      |
|                    |-------|--------------------------------------------------------------------------------------------------------------|
|                    |15     |I did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday and 4 or more cans              |
