Variable Information
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|FRUIT_JUICE_TOPCODE        |95      |[Recode] Yesterday, how much 100% fruit juice did you drink? (0 to 4)                                                    |Scale            |Input|21          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|FRUIT_JUICE_ANY            |96      |[Recode] Yesterday, how much 100% fruit juice did you drink (any)                                                        |Nominal          |Input|17          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|FRUIT_JUICE_2CANS          |97      |[Recode] Yesterday, how much 100% fruit juice did you drink (2 cans +)                                                   |Nominal          |Input|19          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SWEET_DRINK                |98      |[Recode] Yesterday, how much sweetened fruit/tea/coffee did you drink?                                                   |Nominal          |Input|13          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SWEET_DRINK_TOPCODE        |99      |[Recode] Yesterday, how much sweetened fruit/tea/coffee did you drink? (0 to 4)                                          |Scale            |Input|21          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SWEET_DRINK_ANY            |100     |[Recode] Yesterday, how much sweetened fruit/tea/coffee did you drink (any)                                              |Nominal          |Input|17          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SWEET_DRINK_2CANS          |101     |[Recode] Yesterday, how much sweetened fruit/tea/coffee did you drink (2 cans +)                                         |Nominal          |Input|19          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SSB_CONSUMPTION            |102     |[Derived] Estimate of Sugar Sweetened Beverages (SSB) consumed yesterday (soda, sports, and sweet drinks)                |Scale            |Input|17          |Right    |F2          |F2          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SSB_CONSUMPTION_ANY        |103     |[Derived] Sugar Sweetened Beverages (SSB) consumed (none vs some)                                                        |Nominal          |Input|21          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SSB_CONSUMPTION_2CUP       |104     |[Derived] Sugar Sweetened Beverages (SSB) consumed (2 or more cups)                                                      |Nominal          |Input|22          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SSB_CONSUMPTION_3CUP       |105     |[Derived] Sugar Sweetened Beverages (SSB) consumed (3 or more cups)                                                      |Nominal          |Input|22          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SSB_CONSUMPTION_4CUP       |106     |[Derived] Sugar Sweetened Beverages (SSB) consumed (4 or more cups)                                                      |Nominal          |Input|22          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEAVY_SSB                  |107     |[Derived] Indicator if consume 4 or more Sugar Sweetened Beverages (SSB)                                                 |Nominal          |Input|11          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|TAP_WATER                  |108     |[Recode] Yesterday, how much tap water did you drink?                                                                    |Nominal          |Input|11          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|TAP_WATER_TOPCODE          |109     |[Recode] Yesterday, how much tap water did you drink? (0 to 4)                                                           |Scale            |Input|19          |Right    |F3.1        |F3.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|TAP_WATER_ANY              |110     |[Recode] Yesterday, how much tap water did you drink? (Any)                                                              |Nominal          |Input|15          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|TAP_WATER_2CUPS            |111     |[Recode] Yesterday, how much tap water did you drink? (2 cups +)                                                         |Nominal          |Input|17          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BOTTLED_WATER              |112     |[Recode] Yesterday, how much bottled water did you drink?                                                                |Nominal          |Input|15          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BOTTLED_WATER_TOPCODE      |113     |[Recode] Yesterday, how much bottled water did you drink? (0 to 4)                                                       |Scale            |Input|23          |Right    |F3.1        |F3.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BOTTLED_WATER_ANY          |114     |[Recode] Yesterday, how much bottled water did you drink? (Any)                                                          |Nominal          |Input|19          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BOTTLED_WATER_2            |115     |[Recode] Yesterday, how much bottled water did you drink? (2 cups +)                                                     |Nominal          |Input|17          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|WATER_CONSUMPTION          |116     |[Derived] Estimate of tap and bottled water consumed yesterday                                                           |Scale            |Input|19          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HOW_OFTEN                  |117     |[Recode] How often do you usually drink sugary drinks?                                                                   |Nominal          |Input|11          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LARGE_PORTION              |118     |[Recode] how important is a large portion?                                                                               |Nominal          |Input|15          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LOW_PRICE                  |119     |[Recode] how important a low price?                                                                                      |Nominal          |Input|11          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LOW_CALORIE                |120     |[Recode] how important is it that the beverage is low in calories?                                                       |Nominal          |Input|13          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEALTH_TAP_WATER           |121     |[Recode] do you believe drinking tap water is healthy?                                                                   |Scale            |Input|18          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEALTH_BOTTLED_WATER       |122     |[Recode] do you believe drinking bottled water is healthy?                                                               |Scale            |Input|22          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q25A_RECODE                |123     |[Recode] 25a. Yesterday, about how many servings of: salty snacks                                                        |Scale            |Input|13          |Right    |F2          |F2          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q25B_RECODE                |124     |[Recode] 25b. Yesterday, about how many servings of: cookies                                                             |Scale            |Input|13          |Right    |F4.1        |F4.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q25C_RECODE                |125     |[Recode] 25c. Yesterday, about how many servings of: candy                                                               |Scale            |Input|13          |Right    |F4.1        |F4.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q25D_RECODE                |126     |[Recode] 25d. Yesterday, about how many servings of: fruit                                                               |Scale            |Input|13          |Right    |F4.1        |F4.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q25E_RECODE                |127     |[Recode] 25e. Yesterday, about how many servings of: dark green vegetables                                               |Scale            |Input|13          |Right    |F4.1        |F4.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q25_SUGARSNACK             |128     |[Derived] Servings of cookies and candy                                                                                  |Scale            |Input|16          |Right    |F4.1        |F4.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q25_JUNKSNACK              |129     |[Derived] Servings of salty snacks, cookies and candy                                                                    |Scale            |Input|15          |Right    |F4.1        |F4.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q25_FRUITVEG               |130     |[Derived] Servings of fruit and dark green vegetables                                                                    |Scale            |Input|14          |Right    |F4.1        |F4.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q26_TOPCODE                |131     |[Recode] [Top code to 7] How many days per week (DPW) do you do moderate activities for at least 10 min at a time?       |Scale            |Input|13          |Right    |F3.1        |F3.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q27_TOPCODE                |132     |[Recode] [Top code to 7] How many days per week (DPW) do you do vigorous activities for at least 10 min at a time?       |Scale            |Input|13          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BCI                        |133     |Balance Calories Initiative (recode of Q31)                                                                              |Nominal          |Input|5           |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|MIXIFY_INTERNET            |134     |[Derived] have you heard of Mixify or the Balance Calories Initiative (BCI): internet                                    |Nominal          |Input|17          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|MIXIFY_STORE               |135     |[Derived] have you heard of Mixify or the Balance Calories Initiative (BCI): store                                       |Nominal          |Input|14          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|MIXIFY_BILLBOARD           |136     |[Derived] have you heard of Mixify or the Balance Calories Initiative (BCI): billboard                                   |Nominal          |Input|18          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|MIXIFY_BUS                 |137     |[Derived] have you heard of Mixify or the Balance Calories Initiative (BCI): bus                                         |Nominal          |Input|12          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|STATE                      |138     |[Derived] State                                                                                                          |Nominal          |Input|7           |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LOCATION                   |139     |[Derived] Location                                                                                                       |Nominal          |Input|10          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LOCATION_FOUR              |140     |[Derived] Location (four locations)                                                                                      |Nominal          |Input|15          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|LOCATION_TEN               |141     |County code                                                                                                              |Nominal          |Input|14          |Right    |F2          |F2          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q26_RC                     |142     |[Recode] How many days per week do you do moderate activities for at least 10 minutes at a time?                         |Scale            |Input|8           |Right    |F3.1        |F3.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|Q27_RC                     |143     |[Recode] How many days per week do you do vigorous activities for at least 10 minutes at a time?                         |Scale            |Input|8           |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|WEIGHT_POUNDS              |144     |[Recode] Respondent weight in pounds                                                                                     |Scale            |Input|15          |Right    |F3          |F3          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEIGHT_INCH                |145     |[Recode] Respondent height in inches                                                                                     |Scale            |Input|13          |Right    |F2          |F2          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BMI                        |146     |[Derived] Body Mass Index                                                                                                |Scale            |Input|7           |Right    |F4.1        |F4.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BMI_4CAT                   |147     |[Derived] Adult Body Mass Index (BMI) (Centers for Disease Control (CDC) categories)                                     |Nominal          |Input|10          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|CHILD_U10                  |148     |[Derived] Report having a child under age 10                                                                             |Nominal          |Input|11          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HOW_OFTEN_CHILD            |149     |[Recode] How often does your child usually drink sugary drinks?                                                          |Nominal          |Input|17          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SUGAR_DRINKS_CHILD         |150     |[Recode] Yesterday, how many sugar drinks did your child drink?                                                          |Nominal          |Input|20          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SUGAR_DRINKS_CHILD_ANY     |151     |[Recode] Yesterday, how many sugar drinks did your child drink? (Any)                                                    |Nominal          |Input|24          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SUGAR_DRINKS_CHILD_2CANS   |152     |[Recode] Yesterday, how many sugar drinks did your child drink? (2 cans +)                                               |Nominal          |Input|26          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SUGAR_DRINKS_CHILD_3CANS   |153     |[Recode] Yesterday, how many sugar drinks did your child drink? (3 cans +)                                               |Nominal          |Input|26          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|JUICE_DRINKS_CHILD         |154     |[Recode] yesterday, how much 100% juice did your child drink?                                                            |Nominal          |Input|20          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|JUICE_DRINKS_CHILD_ANY     |155     |[Recode] Yesterday, how much 100% juice did your child drink? (Any)                                                      |Nominal          |Input|24          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|JUICE_DRINKS_CHILD_2CANS   |156     |[Recode] Yesterday, how much 100% juice did your child drink? (2 cans +)                                                 |Nominal          |Input|26          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|TAP_WATER_CHILD            |157     |[Recode] Yesterday, how much tap water did your child drink?                                                             |Nominal          |Input|17          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|TAP_WATER_CHILD_TOPCODE    |158     |[Recode] Yesterday, how much tap water did your child drink? (0 to 4)                                                    |Scale            |Input|25          |Right    |F3.1        |F3.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|TAP_WATER_CHILD_ANY        |159     |[Recode] Yesterday, how much tap water did your child drink? (Any)                                                       |Nominal          |Input|21          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|TAP_WATER_CHILD_2CUPS      |160     |[Recode] Yesterday, how much tap water did your child drink? (2 cups +)                                                  |Nominal          |Input|23          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BOTTLED_WATER_CHILD        |161     |[Recode] Yesterday, how much bottled water did your child drink?                                                         |Nominal          |Input|21          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BOTTLED_WATER_CHILD_TOPCODE|162     |[Recode] Yesterday, how much bottled water did your child drink? (0 to 4)                                                |Scale            |Input|29          |Right    |F3.1        |F3.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BOTTLED_WATER_CHILD_ANY    |163     |[Recode] Yesterday, how much bottled water did your child drink? (Any)                                                   |Nominal          |Input|25          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BOTTLED_WATER_CHILD_2      |164     |[Recode] Yesterday, how much bottled water did your child drink? (2 cups +)                                              |Nominal          |Input|23          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|WATER_CONSUMPTION_CHILD    |165     |[Derived] Estimate of child tap and bottled water consumed yesterday                                                     |Scale            |Input|25          |Right    |F3.1        |F3.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|WEIGHT_POUNDS_CHILD        |166     |[Recode] Respondent child weight in pounds                                                                               |Scale            |Input|21          |Right    |F3          |F3          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEIGHT_INCH_CHILD          |167     |[Recode] Respondent child height in inches                                                                               |Scale            |Input|19          |Right    |F2          |F2          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|BMI_CHILD                  |168     |[Derived] Respondent child Body Mass Index                                                                               |Scale            |Input|11          |Right    |F4.1        |F4.1        |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SUGAR_BEV_4_EVERYDAY       |169     |[Derived] Estimate consumed 4 or more sugary beverages every day                                                         |Nominal          |Input|22          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|SUGAR_BEV_4_EVERYDAY_CHILD |170     |[Derived] Estimate consumed 4 or more sugary beverages every day (child)                                                 |Nominal          |Input|28          |Right    |F1          |F1          |              |
|---------------------------|--------|-------------------------------------------------------------------------------------------------------------------------|-----------------|-----|------------|---------|------------|------------|--------------|
|HEAVY_SSB_CHILD            |171     |[Derived] Indicator if consume 3 or more Sugar Sweetened Beverages (SSB)                                                 |Nominal          |Input|17          |Right    |F1          |F1          |              |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
Variables in the working file

Variable Values
|----------------------------------|---------------------------------------------------------------------------------------------------|
|Value                             |Label                                                                                              |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q2                        |1      |Female                                                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |Male                                                                                               |
|--------------------------|-------|---------------------------------------------------------------------------------------------------|
|Q4                        |1      |Latino/Latina                                                                                      |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |2      |Black, African American                                                                            |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |3      |White                                                                                              |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |4      |Asian or Asian American                                                                            |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |5      |Pacific Islander                                                                                   |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |6      |American Indian or Alaska Native                                                                   |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |7      |Some other race or ethnicity                                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |12     |Latino/Latina and Black, African American                                                          |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |13     |Latino/Latina and White                                                                            |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |16     |Latino/Latina and American Indian or Alaska Native                                                 |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |17     |Latino/Latina and some other race or ethnicity                                                     |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |23     |Black, African American and White                                                                  |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |24     |Black, African American and Asian or Asian American                                                |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |25     |Black, African American and Pacific Islander                                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |26     |Black, African American and American Indian or Alaska Native                                       |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |27     |Black, African American and some other race or ethnicity                                           |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |34     |White and Asian or Asian American                                                                  |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |36     |White and American Indian or Alaska Native                                                         |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |37     |White and some other race or ethnicity                                                             |
|                          |-------|---------------------------------------------------------------------------------------------------|
|                          |47     |Asian or Asian American and some other race or ethnicity                                           |
|                          |-------|---------------------------------------------------------------------------------------------------|
